business_name,phone,email,website,rating,address,problems_found,message_sent,status,created_at
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.715914+00:00
Institution Les Iris,212528320909,,,4.2,"passage n°2, N°26, Agadir 80070, Morocco",,,new,2026-06-27T22:00:03.799334+00:00
École Fikri privé,212528230016,,https://ecole.center/wp/ecole-fikri-prive/,0,"Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.892483+00:00
French School Of Agadir,212528234948,,http://www.lyceefrancaisagadir.org/,0,"Quartier Founty-Bensergao - Poste principale d'Agadir - BP 183, 80 000, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.969691+00:00
Private High School Alqalam Ii,212528234323,,http://www.alqalam.ma/,0,"Cité Dakhla Barreau Est-Ouest, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.054220+00:00
Institution Abadila Najah,212528229830,,,0,"CCHG+VG2, Rue 448, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.131648+00:00
École Intégrale,212614340315,,https://www.facebook.com/ecoleintegraleagadir/,0,"Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.259297+00:00
School Gauthier,212528211761,,http://www.ecolegauthier.com/,0,"Lot O42, Quartier Sonaba، Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.329001+00:00
School Annour Private,212528228724,,,0,"École Enour privé, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.406555+00:00
Ibtissam Najah School Private,212528233624,,https://ecole.center/wp/ecole-privee-ibtissam-najah/,0,"CCHH+88G, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.493030+00:00
École privée MIMOSANA,212528222156,,,0,"CF24+Q46, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.577314+00:00
Institution Anna Privée,212808593401,,,3.5,"rue 823, angle AV abderrahmane alhoudaygui et, Av. Omar Al Mokhtar, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.655769+00:00
Founty Institution - Alexandre Poushkine,212528234971,,https://m.facebook.com/pages/category/School/Institution-Founty-1779696735597958/?locale2=fr_FR,0,"80000, Agadir 80000, Morocco",,,new,2026-06-27T22:00:04.751260+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.299578+00:00
École Maria Privée,212528826326,,http://ecolemaria.com/,0,"Illigh Lot 463، Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.383298+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.463798+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.541042+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.615412+00:00
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.697680+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.782955+00:00
Institution Les Iris,212528320909,,,4.2,"passage n°2, N°26, Agadir 80070, Morocco",,,new,2026-06-27T22:00:13.868783+00:00
School Gauthier,212528211761,,http://www.ecolegauthier.com/,0,"Lot O42, Quartier Sonaba، Agadir 80000, Morocco",,,new,2026-06-27T22:00:13.949821+00:00
School Annour Private,212528228724,,,0,"École Enour privé, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.029943+00:00
École Azzahrae Privée,212528321880,,https://institutionazahrae.com/,0,"9CWX+5PJ, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.103297+00:00
School Jil Espoir,212528223473,,https://ecolejilespoir.com/,0,"Av. Settat lot 5718 Hay MohammadI 80000, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.185941+00:00
Groupe Universitaire Prive des ecoles superieures ( GUES ),212661550930,,,3.1,"CCF5+FRJ, Ave du 29 Fevrier, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.260937+00:00
Ibtissam Najah School Private,212528233624,,https://ecole.center/wp/ecole-privee-ibtissam-najah/,0,"CCHH+88G, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.339354+00:00
École Primaire Al Hassania,212528842754,,,0,"CC75+7FF, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.426659+00:00
Groupe Scolaire Denis Diderot,212528211333,,https://www.gsd-diderot.com/,0,"Avenue Errachidia n° 2، Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.504072+00:00
École Fikri privé,212528230016,,https://ecole.center/wp/ecole-fikri-prive/,0,"Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.579596+00:00
Ayour School Privee Agadir,212528226620,,,0,"25,Rue Alikhlas,Lot 381 Hay, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.652846+00:00
Institution Anna Privée,212808593401,,,3.5,"rue 823, angle AV abderrahmane alhoudaygui et, Av. Omar Al Mokhtar, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.727200+00:00
Institution Abadila Najah,212528229830,,,0,"CCHG+VG2, Rue 448, Agadir 80000, Morocco",,,new,2026-06-27T22:00:14.801776+00:00
Les P'tits Grands,212691090501,,,4.7,"33°, Taddart 2, Rue Al-Balsame, Agadir 80000, Morocco",,,new,2026-06-27T22:00:25.464799+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T22:00:25.549318+00:00
Lile.deveil.creche.maternelle,212661838091,,,4.7,"Agadir 80000, Morocco",,,new,2026-06-27T22:00:25.637225+00:00
Nursery Mother Van Gogh,212681570300,,,5,"Rue El Mariniyne, Agadir 80000, Morocco",,,new,2026-06-27T22:00:25.745988+00:00
Crèche et garderie Happy Daycare,212641134080,,,4.6,"Rue 420, Agadir 80000, Morocco",,,new,2026-06-27T22:00:25.833009+00:00
Nursery And Maternal Kids House,212619792106,,,4.8,"Salam Tarik Alkhair 1, Agadir 80070, Morocco",,,new,2026-06-27T22:00:25.916710+00:00
School Jocelyne Private,212528844612,,,4.2,"CCC7+X96, Agadir 80000, Morocco",,,new,2026-06-27T22:00:25.994639+00:00
Nursery Gardenia Agadir,212688030149,,http://instagram.com/,4.6,"9CRV+PP7, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.102265+00:00
Creche Garderie Taddart,212528822750,,https://www.facebook.com/crechegarderie.taddart,4.2,"113، Résidence Taddart, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.198034+00:00
First Steps,212614844212,,,5,"El Farabi 1, Villa 60, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.276018+00:00
Crèche Salam,212666509876,,,5,"9FW3+F64, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.358282+00:00
School Rayon De Soleil,212661689503,,http://www.rdsagadir.com/,5,"464, quartier, Illigh, Agadir 80030, Morocco",,,new,2026-06-27T22:00:26.448425+00:00
School Nid Douillet,212668786368,,http://www.ecoleniddouillet.com/,5,"N 45, Tilila Extension, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.540176+00:00
Sarah Maternelle,212650839921,,,5,"GH7 Imm 141 Essada II, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.633241+00:00
Crèche Alanamil,212670446877,,,3.7,"CCF8+WG3, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.733544+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.830765+00:00
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.909313+00:00
MIKADO Ecole maternelle & jardin d'enfants,212766100248,,https://mikadoschool.ma/,4.4,"Doha Face clinique lumière des yeux, Résidence Essaada, Agadir 80000, Morocco",,,new,2026-06-27T22:00:26.995134+00:00
Nursery Mother Les Étoiles Du South Private,212528226992,,https://www.lesetoilesdusud.ma/,4.2,"1, résidence najah, Agadir 80000, Morocco",,,new,2026-06-27T22:00:27.088653+00:00
Le Petit Nid Nursery Mother,212528292200,,,5,"Rue Al Farabi, Bloc E9 Rue 709, Agadir 80060, Morocco",,,new,2026-06-27T22:00:27.230266+00:00
